172	-1	-1	-1	-1	-1	-1	227	153	196	110	140	169	-1	-1	-1	-1	-1	-1	-1	-1	23	223	156	-1	-1	-1	-1	-1	-1	-1	155	108	225	37	-1	-1	-1	-1	-1	-1	-1	238	207	182	255	-1	6	-1	-1	-1	-1	-1	-1	0	174	51	25	50	-1	-1	-1	-1	-1	-1	-1	-1	232	86	85	147	4	76	-1	-1	-1	-1	-1	-1	-1	16	166	99	-1	105	-1	-1	-1	-1	-1	-1	193	230	112	157	103	-1	-1	-1	-1	-1	-1	-1	249	-1	9	58	21	205	-1	-1	-1	-1	-1	-1	152	243	49	180	39	-1	-1	-1	-1	-1	-1	178	239	124	213	141	-1	-1	-1	-1	-1	-1	-1	101	64	171
78	112	-1	-1	-1	-1	-1	-1	122	64	176	144	111	63	-1	-1	-1	-1	-1	-1	-1	-1	46	30	208	-1	-1	-1	-1	-1	-1	-1	105	235	-1	160	39	-1	-1	-1	-1	-1	-1	192	126	118	110	157	90	-1	-1	-1	-1	-1	-1	95	3	158	130	220	-1	-1	-1	-1	-1	-1	-1	-1	177	23	88	51	125	89	-1	-1	-1	-1	-1	-1	-1	191	4	229	87	29	-1	-1	-1	-1	-1	-1	62	246	113	248	94	-1	-1	-1	-1	-1	-1	-1	180	82	99	175	124	142	-1	-1	-1	-1	-1	-1	245	214	216	210	194	-1	-1	-1	-1	-1	-1	41	161	40	-1	136	-1	-1	-1	-1	-1	-1	143	79	200
156	57	66	-1	-1	-1	-1	-1	-1	138	111	175	13	5	0	-1	-1	-1	-1	-1	-1	-1	91	3	249	125	21	-1	-1	-1	-1	-1	-1	-1	239	106	-1	183	-1	-1	-1	-1	-1	-1	148	8	169	144	214	162	-1	-1	-1	-1	-1	-1	250	81	-1	157	198	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	241	209	123	186	-1	-1	-1	-1	-1	-1	70	210	236	92	119	-1	-1	-1	-1	-1	-1	-1	253	152	137	31	-1	-1	-1	-1	-1	-1	-1	101	18	52	212	58	48	-1	-1	-1	-1	-1	-1	229	149	189	226	29	-1	-1	-1	-1	-1	-1	211	207	41	-1	28	-1	-1	-1	-1	-1	-1	168	24
-1	43	150	59	-1	-1	-1	-1	-1	-1	-1	159	-1	121	245	240	130	-1	-1	-1	-1	-1	-1	124	133	182	119	206	-1	-1	-1	-1	-1	-1	231	155	57	-1	153	-1	-1	-1	-1	-1	-1	101	233	44	36	1	122	-1	-1	-1	-1	-1	-1	33	210	224	115	183	77	-1	-1	-1	-1	-1	-1	-1	-1	10	113	162	103	60	13	-1	-1	-1	-1	-1	-1	246	74	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	127	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	232	156	254	100	111	-1	-1	-1	-1	-1	-1	189	50	94	148	192	-1	-1	-1	-1	-1	-1	99	91	49	84	242	-1	-1	-1	-1	-1	-1	55
138	208	-1	233	33	-1	-1	-1	-1	-1	-1	-1	214	188	175	-1	103	4	-1	-1	-1	-1	-1	-1	197	201	-1	205	20	-1	-1	-1	-1	-1	-1	167	32	22	14	150	-1	-1	-1	-1	-1	-1	35	-1	87	244	47	189	-1	-1	-1	-1	-1	-1	13	-1	-1	133	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	153	79	94	249	127	141	-1	-1	-1	-1	-1	-1	69	131	96	55	216	-1	-1	-1	-1	-1	-1	194	228	117	159	136	65	-1	-1	-1	-1	-1	-1	-1	224	45	255	-1	241	-1	-1	-1	-1	-1	-1	219	193	122	140	-1	-1	-1	-1	-1	-1	-1	178	110	31	158	46	-1	-1	-1	-1	-1	-1
-1	95	41	165	159	103	-1	-1	-1	-1	-1	-1	-1	181	207	-1	112	107	10	-1	-1	-1	-1	-1	-1	138	73	25	4	228	-1	-1	-1	-1	-1	-1	244	219	-1	8	137	-1	-1	-1	-1	-1	-1	-1	86	23	209	230	173	-1	-1	-1	-1	-1	-1	131	62	53	83	246	72	-1	-1	-1	-1	-1	-1	-1	-1	47	234	-1	208	87	245	-1	-1	-1	-1	-1	-1	157	45	91	154	238	-1	-1	-1	-1	-1	-1	59	-1	99	22	-1	21	-1	-1	-1	-1	-1	-1	-1	119	36	202	51	253	-1	-1	-1	-1	-1	-1	49	-1	-1	71	127	-1	-1	-1	-1	-1	-1	248	161	144	75	177	-1	-1	-1	-1	-1
-1	-1	137	221	75	-1	24	-1	-1	-1	-1	-1	-1	-1	177	71	-1	231	171	121	-1	-1	-1	-1	-1	-1	141	181	240	62	13	-1	-1	-1	-1	-1	-1	225	99	95	126	233	-1	-1	-1	-1	-1	-1	-1	157	-1	205	68	219	-1	-1	-1	-1	-1	-1	124	153	245	227	84	212	236	-1	-1	-1	-1	-1	-1	-1	162	83	-1	133	120	146	-1	-1	-1	-1	-1	-1	223	127	156	139	11	-1	-1	-1	-1	-1	-1	206	118	104	166	87	168	-1	-1	-1	-1	-1	-1	-1	183	1	55	88	172	-1	-1	-1	-1	-1	-1	34	101	230	186	122	-1	-1	-1	-1	-1	-1	192	147	202	123	19	-1	-1	-1	-1
-1	-1	-1	166	46	1	178	156	-1	-1	-1	-1	-1	-1	-1	48	235	240	-1	243	245	-1	-1	-1	-1	-1	-1	188	11	139	-1	237	-1	-1	-1	-1	-1	-1	159	208	198	65	-1	-1	-1	-1	-1	-1	-1	-1	20	113	242	22	255	-1	-1	-1	-1	-1	-1	-1	99	117	209	-1	239	-1	-1	-1	-1	-1	-1	-1	-1	-1	186	229	118	174	25	-1	-1	-1	-1	-1	-1	164	125	112	190	210	-1	-1	-1	-1	-1	-1	75	146	39	141	-1	168	-1	-1	-1	-1	-1	-1	-1	57	61	26	114	149	-1	-1	-1	-1	-1	-1	5	189	115	162	100	-1	-1	-1	-1	-1	-1	0	109	234	15	145	-1	-1	-1
-1	-1	-1	-1	118	132	41	159	93	-1	-1	-1	-1	-1	-1	-1	-1	74	141	-1	178	253	-1	-1	-1	-1	-1	-1	-1	198	43	-1	166	-1	-1	-1	-1	-1	-1	-1	56	165	17	-1	-1	-1	-1	-1	-1	-1	-1	25	217	183	48	83	-1	-1	-1	-1	-1	-1	-1	31	76	81	218	222	244	144	-1	-1	-1	-1	-1	-1	-1	53	238	104	213	-1	-1	-1	-1	-1	-1	-1	33	62	240	170	-1	-1	-1	-1	-1	-1	-1	225	221	86	16	30	20	-1	-1	-1	-1	-1	-1	-1	-1	171	211	138	-1	-1	-1	-1	-1	-1	-1	135	247	220	248	139	-1	-1	-1	-1	-1	-1	103	39	128	24	123	-1	-1
-1	-1	-1	-1	-1	51	197	-1	118	171	113	-1	-1	-1	-1	-1	-1	-1	248	194	108	190	170	-1	-1	-1	-1	-1	-1	-1	225	79	224	82	-1	-1	-1	-1	-1	-1	-1	-1	220	27	91	-1	-1	-1	-1	-1	-1	-1	67	209	72	-1	228	-1	-1	-1	-1	-1	-1	-1	93	55	17	137	-1	46	180	-1	-1	-1	-1	-1	-1	-1	43	-1	80	129	234	-1	-1	-1	-1	-1	-1	125	233	172	61	250	-1	-1	-1	-1	-1	-1	-1	203	81	175	0	-1	-1	-1	-1	-1	-1	-1	-1	110	-1	10	53	211	-1	-1	-1	-1	-1	-1	6	68	166	138	-1	-1	-1	-1	-1	-1	-1	173	148	111	247	200	-1
-1	-1	-1	-1	-1	-1	14	215	112	229	-1	247	-1	-1	-1	-1	-1	-1	-1	89	154	110	6	244	-1	-1	-1	-1	-1	-1	73	20	52	197	119	-1	-1	-1	-1	-1	-1	212	151	84	208	-1	-1	-1	-1	-1	-1	-1	-1	107	76	90	198	-1	-1	-1	-1	-1	-1	-1	-1	127	211	56	245	202	-1	135	-1	-1	-1	-1	-1	-1	-1	11	219	237	-1	80	-1	-1	-1	-1	-1	-1	221	243	164	106	17	-1	-1	-1	-1	-1	-1	-1	98	177	233	10	153	78	-1	-1	-1	-1	-1	-1	35	141	77	121	236	-1	-1	-1	-1	-1	-1	41	3	232	72	173	-1	-1	-1	-1	-1	-1	207	64	68	94	33
