162	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	126	196	122	221	161	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	158	52	219	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	146	241	-1	178	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	228	30	-1	135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	166	183	169	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	129	229	172	188	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	231	223	150	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	65	-1	81	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	154	37	198
237	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	214	136	-1	197	204	194	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	227	-1	209	55	205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	133	-1	140	224	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	195	40	109	181	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	255	91	188	196	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	145	13	173	242	178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	77	92	85	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	119	175	180	114	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	177	206	100
40	66	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	250	-1	-1	217	210	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	155	228	161	27	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	103	-1	229	165	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	116	154	73	84	151	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	92	28	209	163	159	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	185	218	191	134	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	246	249	100	58	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	149	41	94	118	174	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	81
-1	-1	201	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	13	175	-1	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	163	179	152	21	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	17	215	49	244	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	115	140	114	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	65	-1	235	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	214	-1	153	218	194	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	74	192	43	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	233	24	183	136	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	144
27	29	150	210	154	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	232	-1	102	207	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	58	60	208	134	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	97	4	167	171	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	36	17	179	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	255	3	137	98	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	176	54	45	244	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	191	18	187	109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	184	56	188	10	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	120	135	4	26	141	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99	219	130	241	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	94	57	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	93	9	229	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	238	51	64	255	105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	179	-1	-1	232	246	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	210	126	134	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	50	194	213	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	125	212	-1	229	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	238	35	168	251	182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	18	180	206	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	248	197	84	241	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	205	102	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	27	145	181	123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	118	141	252	8	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	163	183	23	217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	164	67	157	58	6	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	122	76	119	228	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87	-1	-1	235	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	227	34	53	156	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	12	131	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	80	219	226	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	229	-1	52	22	144	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	178	134	106	54	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	174	4	203	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147	161	97	124	110	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	239	162	123	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	215	40	24	133	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	156	-1	177	224	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	232	116	122	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	210	134	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	237	-1	182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	50	150	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	205	255	113	166	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	120	167	104	115	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	109	31	174	199	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	137	58	187	139	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	92	9	237	252	-1	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	161	87	134	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77	37	124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	224	239	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	105	79	21	205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	176	44	104	244	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	2	14	221	78	-1	-1	-1	-1	-1	-1
