231	-1	-1	-1	-1	-1	-1	9	189	220	42	81	100	-1	-1	-1	-1	-1	-1	243	38	33	105	191	-1	-1	-1	-1	-1	-1	177	236	163	92	234	11	-1	-1	-1	-1	-1	-1	200	39	16	7	74	203	-1	-1	-1	-1	-1	-1	-1	149	140	69	122	91	85	-1	-1	-1	-1	-1	-1	152	5	84	27	190	6	-1	-1	-1	-1	-1	-1	-1	115	18	214	150	17	-1	-1	-1	-1	-1	-1	156	218	170	228	176	23	-1	-1	-1	-1	-1	-1	211	34	112	153	246	-1	-1	-1	-1	-1	-1	-1	244	206	108	221	148	-1	-1	-1	-1	-1	-1	1	188	179	127	10	-1	-1	-1	-1	-1	-1	-1	79	225	22
22	155	-1	-1	-1	-1	-1	-1	134	254	199	147	203	201	-1	-1	-1	-1	-1	-1	222	145	27	153	114	-1	-1	-1	-1	-1	-1	53	39	116	221	237	94	-1	-1	-1	-1	-1	-1	16	4	91	219	225	251	-1	-1	-1	-1	-1	-1	-1	82	229	184	202	241	207	-1	-1	-1	-1	-1	-1	111	119	196	74	61	198	-1	-1	-1	-1	-1	-1	-1	120	216	103	161	174	-1	-1	-1	-1	-1	-1	60	77	244	95	29	141	-1	-1	-1	-1	-1	-1	9	126	97	104	183	-1	-1	-1	-1	-1	-1	-1	88	249	252	40	160	-1	-1	-1	-1	-1	-1	90	140	1	181	150	-1	-1	-1	-1	-1	-1	76	25	230
35	18	89	-1	-1	-1	-1	-1	-1	-1	171	245	49	189	167	-1	-1	-1	-1	-1	-1	7	94	104	221	160	-1	-1	-1	-1	-1	-1	103	175	139	106	8	32	-1	-1	-1	-1	-1	-1	157	188	194	180	52	217	-1	-1	-1	-1	-1	-1	-1	237	124	90	179	159	93	-1	-1	-1	-1	-1	-1	-1	166	251	73	249	36	-1	-1	-1	-1	-1	-1	-1	195	108	47	226	92	-1	-1	-1	-1	-1	-1	225	208	215	132	185	6	-1	-1	-1	-1	-1	-1	115	205	72	169	153	-1	-1	-1	-1	-1	-1	-1	229	56	44	207	161	-1	-1	-1	-1	-1	-1	211	43	58	181	135	-1	-1	-1	-1	-1	-1	172	50
165	82	16	209	-1	-1	-1	-1	-1	-1	-1	55	123	227	98	245	-1	-1	-1	-1	-1	-1	112	114	56	37	137	-1	-1	-1	-1	-1	-1	145	186	65	111	1	250	-1	-1	-1	-1	-1	-1	-1	15	168	75	46	0	-1	-1	-1	-1	-1	-1	-1	242	218	211	102	200	3	-1	-1	-1	-1	-1	-1	-1	177	243	149	248	8	-1	-1	-1	-1	-1	-1	-1	229	220	39	175	171	-1	-1	-1	-1	-1	-1	-1	210	83	9	73	95	-1	-1	-1	-1	-1	-1	142	221	19	205	80	-1	-1	-1	-1	-1	-1	-1	204	97	178	96	6	-1	-1	-1	-1	-1	-1	170	11	69	161	202	-1	-1	-1	-1	-1	-1	79
207	134	233	193	230	-1	-1	-1	-1	-1	-1	-1	200	100	204	64	30	-1	-1	-1	-1	-1	-1	194	228	158	145	209	-1	-1	-1	-1	-1	-1	199	81	213	150	244	234	-1	-1	-1	-1	-1	-1	-1	65	125	138	132	93	-1	-1	-1	-1	-1	-1	-1	192	152	85	173	123	159	-1	-1	-1	-1	-1	-1	-1	196	87	70	51	80	-1	-1	-1	-1	-1	-1	-1	94	155	1	161	112	-1	-1	-1	-1	-1	-1	-1	197	29	146	55	74	-1	-1	-1	-1	-1	-1	177	147	219	76	250	237	-1	-1	-1	-1	-1	-1	60	78	27	210	18	-1	-1	-1	-1	-1	-1	16	211	248	232	183	-1	-1	-1	-1	-1	-1
-1	201	222	187	53	189	-1	-1	-1	-1	-1	-1	-1	80	56	57	196	241	-1	-1	-1	-1	-1	-1	177	220	175	117	115	-1	-1	-1	-1	-1	-1	-1	51	178	15	193	9	-1	-1	-1	-1	-1	-1	-1	247	186	23	184	73	233	-1	-1	-1	-1	-1	-1	-1	216	198	49	204	76	-1	-1	-1	-1	-1	-1	-1	82	45	83	88	208	-1	-1	-1	-1	-1	-1	-1	38	32	135	94	125	-1	-1	-1	-1	-1	-1	-1	209	210	245	2	14	-1	-1	-1	-1	-1	-1	151	218	31	252	69	81	-1	-1	-1	-1	-1	-1	235	248	215	68	95	-1	-1	-1	-1	-1	-1	179	36	242	229	44	-1	-1	-1	-1	-1
-1	-1	131	220	26	185	90	-1	-1	-1	-1	-1	-1	-1	120	61	106	218	109	-1	-1	-1	-1	-1	-1	66	95	160	63	54	-1	-1	-1	-1	-1	-1	-1	64	175	158	122	70	-1	-1	-1	-1	-1	-1	-1	82	178	234	203	212	153	-1	-1	-1	-1	-1	-1	-1	75	144	164	193	45	-1	-1	-1	-1	-1	-1	-1	226	108	117	7	93	246	-1	-1	-1	-1	-1	-1	245	80	242	86	118	-1	-1	-1	-1	-1	-1	-1	58	216	196	101	52	-1	-1	-1	-1	-1	-1	206	187	233	114	208	207	-1	-1	-1	-1	-1	-1	184	10	130	102	83	-1	-1	-1	-1	-1	-1	76	197	142	111	85	-1	-1	-1	-1
-1	-1	-1	79	25	142	55	66	-1	-1	-1	-1	-1	-1	-1	159	190	101	24	251	-1	-1	-1	-1	-1	-1	228	107	97	125	164	-1	-1	-1	-1	-1	-1	-1	157	122	128	96	67	-1	-1	-1	-1	-1	-1	-1	175	105	48	56	154	31	-1	-1	-1	-1	-1	-1	-1	220	118	9	161	244	-1	-1	-1	-1	-1	-1	-1	91	219	156	3	36	135	-1	-1	-1	-1	-1	-1	26	148	82	52	10	-1	-1	-1	-1	-1	-1	-1	127	174	61	144	250	-1	-1	-1	-1	-1	-1	185	106	146	238	92	64	-1	-1	-1	-1	-1	-1	134	109	33	235	12	-1	-1	-1	-1	-1	-1	8	113	150	43	226	-1	-1	-1
-1	-1	-1	-1	73	58	67	228	16	159	-1	-1	-1	-1	-1	-1	160	86	120	37	150	-1	-1	-1	-1	-1	-1	190	102	241	197	27	-1	-1	-1	-1	-1	-1	-1	131	221	4	90	14	-1	-1	-1	-1	-1	-1	-1	233	22	124	201	172	11	-1	-1	-1	-1	-1	-1	-1	8	222	211	198	110	81	-1	-1	-1	-1	-1	-1	174	51	250	136	179	69	-1	-1	-1	-1	-1	-1	204	101	178	192	72	-1	-1	-1	-1	-1	-1	-1	117	82	175	93	75	-1	-1	-1	-1	-1	-1	105	227	202	40	138	38	-1	-1	-1	-1	-1	-1	127	97	173	134	187	-1	-1	-1	-1	-1	-1	253	176	60	19	224	-1	-1
-1	-1	-1	-1	-1	8	15	117	213	9	130	-1	-1	-1	-1	-1	-1	244	50	210	27	238	-1	-1	-1	-1	-1	-1	105	167	168	153	220	-1	-1	-1	-1	-1	-1	-1	25	67	39	254	240	127	-1	-1	-1	-1	-1	-1	247	243	250	18	111	85	-1	-1	-1	-1	-1	-1	-1	53	46	206	154	80	45	-1	-1	-1	-1	-1	-1	251	141	186	217	112	125	-1	-1	-1	-1	-1	-1	123	248	120	77	102	131	-1	-1	-1	-1	-1	-1	165	255	239	169	144	-1	-1	-1	-1	-1	-1	-1	89	69	34	236	78	-1	-1	-1	-1	-1	-1	106	107	207	43	5	-1	-1	-1	-1	-1	-1	128	157	134	129	181	-1
-1	-1	-1	-1	-1	-1	115	56	11	238	146	130	-1	-1	-1	-1	-1	-1	198	79	1	229	204	-1	-1	-1	-1	-1	-1	150	83	96	33	103	-1	-1	-1	-1	-1	-1	-1	237	64	145	66	183	29	-1	-1	-1	-1	-1	-1	-1	18	2	203	84	120	-1	-1	-1	-1	-1	-1	-1	69	93	31	65	207	23	-1	-1	-1	-1	-1	-1	35	179	181	170	206	134	-1	-1	-1	-1	-1	-1	32	218	45	223	51	205	-1	-1	-1	-1	-1	-1	233	49	139	102	36	-1	-1	-1	-1	-1	-1	-1	193	46	226	253	24	-1	-1	-1	-1	-1	-1	200	82	117	100	140	-1	-1	-1	-1	-1	-1	97	20	155	187	254
