9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	204	39	221	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	137	247	77	61	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	5	227	64	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	50	253	224	215	244	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	66	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	170	-1	-1	15	142	164	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	112	72	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	107	-1	34	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	181	62	60
157	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	130	-1	-1	245	160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	195	182	229	89	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	35	86	10	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	197	26	118	181	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	159	236	47	48	95	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	107	200	180	213	145	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	143	13	58	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	221	204	198	31	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	161	150	69
-1	253	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	84	-1	230	178	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	159	-1	242	-1	96	146	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	224	127	151	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	144	249	-1	1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	171	156	-1	247	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	133	180	188	-1	128	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	227	81	43	45	204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	11	67	20	235	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	14
23	251	239	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	83	184	229	107	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	210	-1	169	155	92	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	225	109	154	211	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	99	25	77	190	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	121	8	73	175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	212	-1	134	44	177	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	172	98	181	198	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	203	24	140	245	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	192
11	227	125	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	159	210	-1	212	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	10	47	248	-1	236	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	157	-1	214	177	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	123	127	238	189	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	149	131	130	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	233	84	34	97	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	209	186	160	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	213	168	208	39	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	206	232	172	185	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	182	61	200	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	171	20	117	105	191	189	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	163	60	123	178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	113	254	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	14	209	5	213	244	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	166	107	106	91	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	44	194	252	248	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	184	247	220	130	202	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	158	155	18	204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	223	5	165	252	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	126	164	79	221	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	215	89	216	141	86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	170	3	245	95	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	161	224	187	190	149	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	255	60	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	103	242	137	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	179	156	174	195	6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	221	250	-1	23	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	97	9	117	247	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	178	248	-1	100	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	7	61	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	89	124	66	41	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	244	58	211	127	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	21	164	-1	219	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	126	37	217	229	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	236	101	64	93	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	142	252	-1	230	253	189	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	149	-1	221	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	229	86	113	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	193	175	-1	177	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	100	187	207	43	194	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	241	165	222	48	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	245	233	220	130	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	196	255	70	103	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	41	162	58	36	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	164	178	-1	94	0	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	160	67	82	182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	250	29	65	254	103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	210	170	134	203	171	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	191	70	-1	189	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	194	54	125	158	166	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	107	187	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	249	142	47	230	157	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	179	5	139	124	127	-1	-1	-1	-1	-1
