73	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	164	52	206	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	150	236	174	-1	-1	-1	-1	-1	-1	-1	-1	-1	225	138	131	112	-1	-1	-1	-1	-1	-1	-1	-1	58	191	-1	181	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	147	86	204	85	-1	-1	-1	-1	-1	-1	-1	-1	202	75	20	250	180	-1	-1	-1	-1	-1	-1	-1	-1	11	168	-1	156	24	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	235	193	94	-1	-1	-1	-1	-1	-1	-1	-1	102	17	103	44	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	179	31	28	213	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	13	7
176	160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	101	110	-1	-1	-1	-1	-1	-1	-1	-1	215	244	64	6	150	-1	-1	-1	-1	-1	-1	-1	-1	102	52	11	29	210	-1	-1	-1	-1	-1	-1	-1	-1	33	185	208	73	165	-1	-1	-1	-1	-1	-1	-1	-1	152	186	251	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	123	69	74	10	36	-1	-1	-1	-1	-1	-1	-1	-1	58	184	155	19	202	-1	-1	-1	-1	-1	-1	-1	-1	67	34	227	209	62	-1	-1	-1	-1	-1	-1	-1	-1	25	220	143	111	105	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	82	109	118	-1	-1	-1	-1	-1	-1	-1	-1	57	224	238
223	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	150	190	24	246	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	209	243	165	-1	-1	-1	-1	-1	-1	-1	-1	25	68	64	193	18	-1	-1	-1	-1	-1	-1	-1	-1	81	36	29	199	12	-1	-1	-1	-1	-1	-1	-1	-1	219	232	28	44	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	200	220	147	240	-1	-1	-1	-1	-1	-1	-1	-1	78	213	164	69	84	-1	-1	-1	-1	-1	-1	-1	-1	156	32	57	229	245	-1	-1	-1	-1	-1	-1	-1	-1	154	102	-1	55	180	-1	-1	-1	-1	-1	-1	-1	-1	20	107	-1	-1	241	-1	-1	-1	-1	-1	-1	-1	-1	230	171
100	55	219	130	-1	-1	-1	-1	-1	-1	-1	-1	111	106	109	180	187	-1	-1	-1	-1	-1	-1	-1	-1	89	3	231	244	57	-1	-1	-1	-1	-1	-1	-1	-1	46	77	123	67	41	-1	-1	-1	-1	-1	-1	-1	-1	246	40	215	205	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	119	232	229	176	-1	-1	-1	-1	-1	-1	-1	-1	120	144	66	35	224	-1	-1	-1	-1	-1	-1	-1	-1	171	-1	136	184	72	-1	-1	-1	-1	-1	-1	-1	-1	235	14	189	91	32	-1	-1	-1	-1	-1	-1	-1	-1	5	194	-1	-1	137	-1	-1	-1	-1	-1	-1	-1	-1	160	237	80	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	36
-1	217	214	228	143	-1	-1	-1	-1	-1	-1	-1	-1	185	98	219	-1	113	-1	-1	-1	-1	-1	-1	-1	-1	114	88	226	234	165	-1	-1	-1	-1	-1	-1	-1	-1	247	194	145	167	178	-1	-1	-1	-1	-1	-1	-1	-1	252	8	138	97	133	-1	-1	-1	-1	-1	-1	-1	-1	205	-1	-1	24	244	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	80	162	-1	-1	-1	-1	-1	-1	-1	-1	-1	202	87	172	22	0	-1	-1	-1	-1	-1	-1	-1	-1	62	13	-1	49	215	-1	-1	-1	-1	-1	-1	-1	-1	255	75	117	193	153	-1	-1	-1	-1	-1	-1	-1	-1	141	188	33	-1	34	-1	-1	-1	-1	-1	-1	-1	-1
-1	144	199	177	116	163	-1	-1	-1	-1	-1	-1	-1	-1	167	218	21	12	141	-1	-1	-1	-1	-1	-1	-1	-1	213	110	193	35	246	-1	-1	-1	-1	-1	-1	-1	-1	74	175	-1	207	252	-1	-1	-1	-1	-1	-1	-1	-1	24	186	44	111	51	-1	-1	-1	-1	-1	-1	-1	-1	131	118	0	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	190	88	128	119	197	-1	-1	-1	-1	-1	-1	-1	-1	-1	225	236	34	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	100	176	244	-1	-1	-1	-1	-1	-1	-1	-1	52	183	-1	64	168	-1	-1	-1	-1	-1	-1	-1	-1	7	224	189	-1	42	-1	-1	-1	-1	-1	-1	-1
-1	-1	62	180	22	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	14	164	245	249	97	-1	-1	-1	-1	-1	-1	-1	-1	-1	227	104	134	56	-1	-1	-1	-1	-1	-1	-1	-1	35	48	194	-1	254	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	132	41	5	-1	-1	-1	-1	-1	-1	-1	-1	39	169	172	-1	159	-1	-1	-1	-1	-1	-1	-1	-1	197	206	86	148	66	-1	-1	-1	-1	-1	-1	-1	-1	102	64	237	149	152	-1	-1	-1	-1	-1	-1	-1	-1	100	230	198	20	87	-1	-1	-1	-1	-1	-1	-1	-1	241	189	175	-1	163	-1	-1	-1	-1	-1	-1	-1	-1	167	51	69	202	125	-1	-1	-1	-1	-1	-1
-1	-1	-1	165	187	123	204	103	-1	-1	-1	-1	-1	-1	-1	-1	5	241	-1	134	184	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	146	57	156	-1	-1	-1	-1	-1	-1	-1	-1	240	-1	-1	131	141	-1	-1	-1	-1	-1	-1	-1	-1	217	249	18	-1	116	-1	-1	-1	-1	-1	-1	-1	-1	37	79	178	153	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	46	196	-1	-1	-1	-1	-1	-1	-1	-1	133	160	195	105	58	-1	-1	-1	-1	-1	-1	-1	-1	246	208	-1	-1	191	-1	-1	-1	-1	-1	-1	-1	-1	248	83	252	75	15	-1	-1	-1	-1	-1	-1	-1	-1	182	129	67	170	40	-1	-1	-1	-1	-1
-1	-1	-1	-1	223	49	56	163	-1	-1	-1	-1	-1	-1	-1	-1	-1	78	199	201	76	119	-1	-1	-1	-1	-1	-1	-1	-1	136	210	-1	173	133	-1	-1	-1	-1	-1	-1	-1	-1	116	206	168	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	207	64	104	171	-1	-1	-1	-1	-1	-1	-1	-1	21	112	217	146	156	-1	-1	-1	-1	-1	-1	-1	-1	129	214	9	10	30	-1	-1	-1	-1	-1	-1	-1	-1	228	79	73	13	15	-1	-1	-1	-1	-1	-1	-1	-1	132	114	52	194	62	-1	-1	-1	-1	-1	-1	-1	-1	142	46	43	3	110	-1	-1	-1	-1
-1	-1	-1	-1	-1	124	75	78	201	93	-1	-1	-1	-1	-1	-1	-1	-1	135	88	37	49	221	-1	-1	-1	-1	-1	-1	-1	-1	45	33	82	206	92	-1	-1	-1	-1	-1	-1	-1	-1	35	200	183	44	146	-1	-1	-1	-1	-1	-1	-1	-1	111	237	165	174	24	-1	-1	-1	-1	-1	-1	-1	-1	208	188	190	17	68	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	70	87	196	-1	-1	-1	-1	-1	-1	-1	-1	161	23	110	98	202	-1	-1	-1	-1	-1	-1	-1	-1	207	248	253	212	154	-1	-1	-1	-1	-1	-1	-1	-1	251	130	131	232	163	-1	-1	-1	-1	-1	-1	-1	-1	53	10	66	220	254	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	69	57	204	-1	-1	-1	-1	-1	-1	-1	-1	-1	224	81	24	9	-1	-1	-1	-1	-1	-1	-1	-1	229	225	-1	103	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	190	215	160	227	-1	-1	-1	-1	-1	-1	-1	-1	3	68	116	138	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	167	43	90	-1	-1	-1	-1	-1	-1	-1	-1	73	-1	172	-1	124	-1	-1	-1	-1	-1	-1	-1	-1	75	92	78	54	107	-1	-1	-1	-1	-1	-1	-1	-1	250	169	197	171	168	-1	-1	-1	-1	-1	-1	-1	-1	21	109	191	33	96	-1	-1	-1	-1	-1	-1	-1	-1	152	156	238	32	48	-1	-1
-1	-1	-1	-1	-1	-1	-1	6	113	178	59	42	-1	-1	-1	-1	-1	-1	-1	-1	228	32	148	84	54	-1	-1	-1	-1	-1	-1	-1	-1	239	70	217	248	229	-1	-1	-1	-1	-1	-1	-1	-1	89	7	209	255	137	-1	-1	-1	-1	-1	-1	-1	-1	139	47	176	204	-1	-1	-1	-1	-1	-1	-1	-1	-1	143	168	61	-1	166	-1	-1	-1	-1	-1	-1	-1	-1	147	136	29	94	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	17	164	-1	-1	-1	-1	-1	-1	-1	-1	107	232	-1	222	55	-1	-1	-1	-1	-1	-1	-1	-1	242	181	208	-1	169	-1	-1	-1	-1	-1	-1	-1	-1	127	212	0	10	171	-1
-1	-1	-1	-1	-1	-1	-1	-1	80	249	83	195	82	-1	-1	-1	-1	-1	-1	-1	-1	242	-1	251	236	169	-1	-1	-1	-1	-1	-1	-1	-1	165	127	-1	28	33	-1	-1	-1	-1	-1	-1	-1	-1	218	-1	89	44	231	-1	-1	-1	-1	-1	-1	-1	-1	38	12	150	248	54	-1	-1	-1	-1	-1	-1	-1	-1	0	133	87	175	245	-1	-1	-1	-1	-1	-1	-1	-1	84	98	224	201	-1	-1	-1	-1	-1	-1	-1	-1	-1	138	25	254	153	-1	-1	-1	-1	-1	-1	-1	-1	-1	215	121	162	53	140	-1	-1	-1	-1	-1	-1	-1	-1	183	241	252	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	112	237	174	243
